PROSPECTID,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,PL_Flag,pct_PL_enq_L6m_of_ever,HL_Flag,GL_Flag,last_prod_enq2,Credit_Score
3236,Married,SSC,23,M,10000,62,1.0,0,0.0,1,0,ConsumerLoan,683
7269,Single,GRADUATE,22,M,14000,63,1.0,0,1.0,0,0,ConsumerLoan,653
33002,Married,OTHERS,34,M,25000,83,0.667,0,1.0,0,0,PL,671
44178,Single,12TH,27,M,34000,71,1.0,0,0.0,0,0,ConsumerLoan,651
40031,Married,SSC,44,M,18000,101,0.095,0,1.0,1,0,PL,710
31869,Married,SSC,59,M,50000,366,1.0,0,0.0,0,0,ConsumerLoan,674
45476,Married,12TH,38,M,30000,131,0.4,0,1.0,0,1,PL,700
41150,Married,SSC,25,M,15300,42,1.0,1,0.0,0,0,others,668
18923,Married,GRADUATE,42,M,36900,190,0.4,0,0.0,0,1,others,717
16081,Married,OTHERS,28,M,20000,48,1.0,0,0.0,0,0,ConsumerLoan,677
42175,Married,UNDER GRADUATE,46,M,24000,89,0.083,0,0.0,1,0,others,665
48620,Married,UNDER GRADUATE,33,M,55000,100,1.0,0,0.0,1,0,ConsumerLoan,661
30655,Single,SSC,27,M,39000,30,0.5,1,0.333,0,0,ConsumerLoan,658
19109,Married,GRADUATE,29,M,22000,81,0.105,0,0.0,1,0,ConsumerLoan,691
17109,Married,12TH,27,M,13000,47,0.5,0,0.0,1,0,ConsumerLoan,685
14618,Married,OTHERS,23,F,11000,53,1.0,0,0.0,0,0,ConsumerLoan,661
330,Married,SSC,39,M,28000,90,1.0,0,1.0,0,0,PL,668
49286,Single,GRADUATE,24,M,40000,70,0.091,1,0.0,1,0,PL,657
25130,Single,GRADUATE,27,M,32890,44,0.667,0,0.0,1,0,ConsumerLoan,685
8966,Single,12TH,22,M,16000,16,1.0,0,0.0,0,1,CC,682
7172,Married,GRADUATE,30,M,35000,71,0.5,0,0.0,1,0,ConsumerLoan,691
42797,Married,GRADUATE,32,M,25000,186,0.093,0,0.0,1,0,ConsumerLoan,788
21960,Married,12TH,29,M,16000,131,1.0,0,0.0,0,0,ConsumerLoan,673
46735,Married,12TH,53,M,55000,98,1.0,0,0.0,0,1,others,711
8369,Married,GRADUATE,30,M,28000,74,0.333,0,0.0,1,0,ConsumerLoan,690
2121,Single,GRADUATE,21,M,22000,47,1.0,0,0.0,1,0,others,680
18102,Single,GRADUATE,24,M,22000,304,1.0,0,0.0,0,0,ConsumerLoan,671
29482,Married,GRADUATE,33,M,30000,98,0.571,0,0.0,0,0,others,691
44048,Single,GRADUATE,23,M,30000,59,0.714,1,0.875,1,0,PL,646
24016,Single,SSC,21,M,40000,130,1.0,0,0.0,0,0,others,674
13640,Married,GRADUATE,36,M,20000,187,0.522,1,0.6,0,0,PL,631
2202,Married,SSC,30,M,10000,30,1.0,0,0.0,0,0,others,671
9817,Single,GRADUATE,29,M,40000,78,1.0,0,0.0,0,0,others,671
26035,Married,GRADUATE,29,M,30000,58,1.0,0,0.0,0,0,ConsumerLoan,666
18851,Single,GRADUATE,24,M,30000,80,0.0,0,0.0,0,0,others,674
45712,Married,GRADUATE,25,F,25000,41,1.0,0,0.0,0,0,PL,678
16933,Married,12TH,26,M,18000,54,0.5,1,1.0,0,0,PL,671
23776,Married,12TH,38,M,29000,37,0.2,1,0.0,1,0,ConsumerLoan,694
8120,Single,PROFESSIONAL,34,M,18000,77,1.0,0,0.0,0,0,ConsumerLoan,668
30018,Married,POST-GRADUATE,36,M,8000,120,1.0,0,1.0,0,0,PL,666
28059,Single,GRADUATE,25,M,21000,77,1.0,0,0.0,0,0,CC,672
33407,Single,GRADUATE,49,M,20000,91,1.0,0,0.0,0,0,CC,669
43457,Single,12TH,25,M,3800,248,1.0,0,0.0,0,0,others,685
23103,Married,SSC,53,M,23000,131,0.5,0,0.0,0,0,ConsumerLoan,689
37593,Married,12TH,42,M,16000,126,0.0,0,0.0,0,0,others,700
34440,Married,UNDER GRADUATE,58,M,45000,126,0.318,1,0.0,1,0,ConsumerLoan,683
3899,Married,GRADUATE,24,M,20000,42,1.0,0,0.0,0,0,CC,691
876,Married,SSC,27,F,24000,54,0.174,0,0.0,1,0,others,686
44332,Married,GRADUATE,29,M,11000,83,0.667,0,0.0,1,0,others,680
38813,Single,GRADUATE,22,F,15000,61,1.0,0,0.0,0,0,ConsumerLoan,682
49030,Married,12TH,40,M,24000,140,0.667,1,1.0,0,0,ConsumerLoan,677
38865,Married,SSC,45,M,15500,60,0.75,1,0.538,0,0,ConsumerLoan,663
20650,Married,12TH,40,M,30000,191,1.0,0,0.0,0,0,others,698
50743,Single,UNDER GRADUATE,28,M,32500,70,0.25,0,0.0,1,0,others,692
38186,Married,GRADUATE,34,M,23000,130,0.667,1,0.5,0,0,ConsumerLoan,697
23577,Married,UNDER GRADUATE,38,F,25000,129,0.167,0,0.0,1,0,others,685
35538,Single,SSC,31,M,20000,310,0.25,0,1.0,1,0,PL,680
22440,Married,OTHERS,43,M,18000,125,1.0,0,0.0,0,0,others,685
46561,Single,GRADUATE,23,M,20000,78,0.0,0,0.0,1,0,others,677
17363,Married,SSC,27,M,20000,150,1.0,0,0.0,0,0,ConsumerLoan,689
